"time";"h";"Q"
0;191.709735283865;42669.4431803644
31;191.719951570239;29882.939466903
59;191.615340304929;29273.9123106167
90;191.441187693361;34645.4554492602
120;191.732518790402;30071.042600876
151;191.775402291563;35156.0243836689
181;192.189854889492;49449.6510651869
212;192.349313887165;46982.064353083
243;192.166150399578;36716.444625973
273;192.034518489473;32182.5337549185
304;192.029270024653;31432.9034889011
334;191.991181820988;31423.5617743534
365;191.927566599876;32614.9994177737
396;191.820644558235;32432.4867241901
425;191.879188041163;34128.5605545175
456;192.022612864243;43155.9151696972
486;192.185596790331;40221.8435365469
517;192.041320137606;36959.2508775483
547;192.00027123751;38315.0596925372
578;191.888716682318;32989.4422037958
609;191.795536139149;31647.1534232433
639;191.648613876514;32423.9840680373
670;191.570561371439;34740.9523159553
700;191.521871573547;33266.998625148
731;191.575515256684;37410.0170048782
762;191.586920345478;31633.4820916999
790;191.538262014651;32072.9108535961
821;191.570346381861;32726.8332521152
851;191.833606693112;33969.1491961397
882;191.934433744324;29418.3576271741
912;191.776422320467;28482.7242462538
943;191.706822105418;29168.6193857984
974;191.662098746665;29052.9480943151
1004;191.616277928112;28798.6718772739
1035;191.619843918857;28060.9075544829
1065;191.645986928598;27599.7529933663
1096;191.691541865122;28314.4446873683
1127;191.345802152759;32200.4195369086
1155;191.653331680484;31044.8566291931
1186;191.647754733035;30469.4955312696
1216;191.681067123625;29494.7476168097
1247;191.65514631359;28610.4704388968
1277;191.662533043527;29917.5987957393
1308;191.703915441939;30464.1234131575
1339;191.579192636167;27749.7631231738
1369;191.575526327271;27287.6880889822
1400;191.614098692171;26476.7817001461
1430;191.528162123031;30548.068714164
1461;191.208961275714;33816.1308377187
1492;191.710503910835;26317.4901462445
1520;191.712887477082;25917.9736633888
1551;191.712510823233;27834.5054278513
1581;191.43984550162;30040.100733033
1612;191.652238587627;26750.7699290526
1642;191.687087972118;31012.5949622795
1673;191.638107797822;26665.6165928979
1704;191.532309874104;25061.0823061561
1734;191.461435458341;25083.6230572592
1765;191.539922161502;25223.1838161204
1795;191.649257284118;26924.4641993095
1826;191.762176857631;26759.6302897762
1857;191.772139016331;24897.7227647561
1886;191.795384544041;26570.9081059765
1917;191.804954618978;28602.916376689
1947;191.930095072341;29693.3316417144
1978;191.836672465082;27245.0681773379
2008;191.781910546912;27249.9647651169
2039;191.720108928465;27093.7258599656
2070;191.577084556378;26375.8999774157
2100;191.556034316088;26833.1472216294
2131;191.564199835549;27414.9591453115
2161;191.761274393016;34156.4942891464
2192;191.858912622671;33945.3252094685
2223;191.825265823473;27152.293127356
2251;191.7696566383;25923.3513822706
2282;191.735994606304;26351.1348016845
2312;191.701986608404;27274.8699042731
2343;191.65555277922;26561.854218233
2373;191.633287740863;26251.5894009482
2404;191.639661025365;31169.9066661465
2435;191.560580769047;27064.2031241681
2465;191.653501368904;25943.014760817
2496;191.707662094441;29699.8630597877
2526;191.626081438727;26453.5594066481
2557;191.709297682022;28320.6636175679
2588;191.971573608892;32182.5129982131
2616;191.980426897137;28005.9948461068
2647;191.93538675819;27910.8860705033
2677;191.907695850259;29574.7429597057
2708;192.115009519018;37516.79474668
2738;192.29586196458;33520.6682702785
2769;191.987805365812;29254.490296311
2800;191.788169511267;29520.7446755246
2830;191.828519687531;29903.2525306071
2861;191.837396409514;28105.2504620638
2891;191.72443054429;28589.0742740703
2922;191.791987773857;27920.4947375884
2953;191.921133808465;33689.8004453459
2981;191.987608254208;33653.1017031493
3012;191.982403872655;33133.5790681101
3042;191.955269678578;32208.6237742954
3073;191.965810938269;36518.8901103982
3103;192.314230660043;44299.1713833159
3134;192.147238242896;31686.177815842
3165;191.861746301118;31901.9377092589
3195;191.898085361486;31369.4586657567
3226;191.896842946708;28688.8239930587
3256;191.888132758767;29196.8429038013
3287;191.861062315902;31904.5888549015
3318;191.922732188367;28236.3035603333
3347;191.871999456502;28566.9987479869
3378;191.817891869684;29007.8843869792
3408;191.802244590488;28771.271041056
3439;191.806070768943;30346.745016011
3469;191.848038555471;28843.3826631439
3500;191.957402980369;29274.652494824
3531;191.813970177641;28604.3199193846
3561;191.739451799086;28478.7778902771
3592;191.737049089743;29147.0095021036
3622;191.890116207924;28969.1417972442
3653;191.981378009471;30986.7951043228
3684;192.031081073231;29221.5671351661
3712;192.004549057814;30362.45884757
3743;191.864880164729;31018.3364524437
3773;191.805825833565;30618.0354704911
3804;191.797546451904;31164.6239519843
3834;191.807588154594;30943.47183375
3865;191.945438360084;36263.0872600534
3896;191.840327506894;30786.0928324114
3926;191.76201011779;30054.5587908272
3957;191.732615295816;28635.8860394312
3987;191.75144085278;27732.7769151015
4018;191.889162207512;30746.4437561619
4049;192.047980091029;29370.0539109132
4077;191.999988800229;27720.0160010427
4108;191.949042702406;29905.9121817012
4138;191.999038037106;34325.2771343338
4169;192.032037907845;29579.7601507556
4199;191.890673599192;28328.3816990409
4230;191.684536645322;29857.67216657
4261;191.587408339606;30329.1227688078
4291;191.636049025822;30543.1794067525
4322;191.707437327729;29673.1061773732
4352;191.831789670551;36366.9003736841
4383;191.738230180951;32626.3657316943
4414;191.818898618535;31143.0627685905
4442;191.941891773933;38295.6548121692
4473;192.108019532112;36070.3516788494
4503;192.1180407686;36081.1406336293
4534;192.481291438151;53484.2506077441
4564;192.548940286488;51848.2227918527
4595;192.345757982665;40413.5125241517
4626;192.12358044771;32924.8770903269
4656;191.962206000273;31255.2201014335
4687;192.023322519259;29403.0262564493
4717;192.014239128739;29975.8109570395
4748;192.019842210084;34620.6588962927
4779;192.171658139478;30493.6838510133
4808;192.230516364361;32043.4729206582
4839;192.242712825004;30659.1456072887
4869;192.086713737753;30896.2465138137
4900;191.956107391996;31364.6640304771
4930;191.925610606484;31667.5027370432
4961;191.851013592263;34054.7701612009
4992;191.806709690796;33059.3799471934
5022;191.785938804233;31016.8240075516
5053;191.801991072629;29934.7633914636
5083;191.856334426406;30873.9091857439
5114;191.876941558004;29491.5672735355
5145;191.831190725451;31366.8192188276
5173;191.807313456496;30560.6250010019
5204;192.160003239882;44609.0014911222
5234;192.30839123659;38051.8831293803
5265;192.21268363482;33006.3111822547
5295;192.180054958331;41940.0307813634
5326;192.164188060508;35429.7235293897
5357;191.933258923086;31907.0502318692
5386.99951171875;191.917957368576;34441.8894508451
5418;191.822822168969;31383.7077779348
5448;191.846638665002;29984.3083280795
5479;191.924244421145;29393.4090307119
5510;191.820045716655;28934.8671617293
5538;191.74958145792;30526.4209186356
5569;191.774663784157;32056.2638970399
5599;191.708289134841;31134.7407004812
5630;192.051040777694;31768.5743354119
5660;192.01853541062;30705.3704819227
5691;191.928456429271;29636.4611192936
5722;191.941500505106;32462.6727939913
5752;191.886191981082;31797.8261807582
5783;191.926342256637;32602.5546550488
5813;192.510141915269;46470.1753416878
5844;192.336020444488;33945.043297632
5875;192.312922502186;32072.1275800885
5903;192.124421252298;32308.3984285084
5934;192.005999404171;32634.9890841471
5964;191.875771733112;32131.5619521673
5995;191.86755604439;31330.9135481467
6025;191.744559425208;29243.514017685
6056;191.591602091257;30139.6268196457
6087;191.446917393841;30092.210992063
6117;191.410229158678;30079.510034458
6148;191.482545288541;30118.7152608062
6178;191.542131934416;29806.4035497576
6209;191.5957151939;28989.1276466598
6240;191.72310637719;34690.9911342533
6269;191.817698153608;31089.051910597
6300;191.780966675786;30544.7028302655
6330;191.717408898714;29830.514458717
6361;191.69144098139;29082.6155894909
6391;191.839273133829;31942.6242141823
6422;191.716481940369;27712.7940495609
6453;191.641215266986;28053.6250690713
6483;191.651371943559;27069.8772732985
6514;191.718322605324;28899.8550972371
6544;191.907560931882;26291.1658612431
6575;191.833858997294;27309.8218085017
6606;191.805771860024;27841.1618572374
6634;191.800224650316;28732.9842570576
6665;191.770166770025;30329.1556957735
6695;191.821563719155;33889.3578005379
6726;191.904924014229;31680.4792980833
6756;191.809646991288;27967.5270456957
6787;191.688818586992;28023.6516855956
